kl;Чем КЛ отличается от ВЛ-2?
skoby-hodovye;Чем ГС отличается от СК?
promyshlennye-lestnicy;Чем НТС 62-91-111 отличается от 111а и 111б?
vp-18;Чем ВП отличается от плит ПК для зданий?
lp-8-1;Чем НКЛ ЛП отличается от лёгких лотков Л
kksr-3;Объём бетона 0,884 м³ приведён у поставщика и физически сходится с массой 2210 кг, поэтому взял его как рабочую цифру, но под смету подтверждаем паспортом: единого ГОСТ на колодцы связи нет, они идут по ведомственным типовым проектам, и у разных заводов оснастка чуть отличается
kksr-3;Отдельно уточняем габарит и массу типа 80 (проезжая часть) — они отличаются от типа 10, точные значения даём по чертежу под ваше исполнение
kksr-3;Чем тип 10 отличается от типа 80?
yaroslavl;Одна машина вместо трёх поставок — кольца КС , опорные плиты ОП
dorozhnoe-zhbi;Чем ЗК отличается от ЗКП?
dorozhnomu-podryadchiku;Считаем под конкретный комплект и объём, на партию цена отличается от розничной
dorozhnomu-podryadchiku;Разница с тяжёлым около семи тысяч
zhkh-i-vodokanalu;Считаем под конкретный комплект и объём, на партию цена отличается от розничной
zhkh-i-vodokanalu;3 480 ₽ за Ø1000: одно изделие вместо пары «днище плюс кольцо»,
zastroyshchiku;Пришлите спецификацию или ведомость по объекту — посчитаем объём и дадим цену на партию, отличную от розничной
zastroyshchiku;По спецификации или ведомости считаем поставку на партию — цена отличается от розничной, зависит от объёма и графика
fbs-24-4-6;Чем ФБС 24-4-6 отличается от соседних марок?
fbs-24-4-6;Сечение то же — 400×580 мм, отличается длина
op-1k;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — опорная плита или крышка — в чём разница
op-1k;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — что ставится над опорной плитой
op-1d;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — опорная плита или крышка — в чём разница
op-1d;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — что ставится над опорной плитой
ks-10-9;Чем КС 10-9 отличается от соседних марок ряда?
ks-10-9;Диаметр тот же — 1000 мм, отличается высота
ks-15-9;Чем КС 15-9 отличается от соседних марок ряда?
ks-15-9;Диаметр тот же — 1500 мм, отличается высота
obem-betona-i-ves-zhbi;Единой цифры по геометрии здесь нет (толщина дна у разных заводов отличается), поэтому объём и массу берём из паспорта — см
obem-betona-i-ves-zhbi;По этим цифрам вы считаете кран и логистику, поэтому вместо непроверенного числа мы даём фактическое значение по паспорту на партию
obem-betona-i-ves-zhbi;Масса по ГОСТ и по прайсу иногда отличается — почему?
ks-7-0-1;Чем КС 7-0,1 отличается от соседних марок ряда?
ks-7-0-1;Диаметр тот же — 700 мм, отличается высота
ks-7-1-5;Чем КС 7-1,5 отличается от соседних марок ряда?
ks-7-1-5;Диаметр тот же — 700 мм, отличается высота
ks-7-3;Чем КС 7-3 отличается от соседних марок ряда?
ks-7-3;Диаметр тот же — 700 мм, отличается высота
ks-7-5;Чем КС 7-5 отличается от соседних марок ряда?
ks-7-5;Диаметр тот же — 700 мм, отличается высота
ks-7-6;Чем КС 7-6 отличается от соседних марок ряда?
ks-7-6;Диаметр тот же — 700 мм, отличается высота
ks-7-9;Чем КС 7-9 отличается от соседних марок ряда?
ks-7-9;Диаметр тот же — 700 мм, отличается высота
ks-7-10;Чем КС 7-10 отличается от соседних марок ряда?
ks-7-10;Диаметр тот же — 700 мм, отличается высота
ks-10-3;Чем КС 10-3 отличается от соседних марок ряда?
ks-10-3;Диаметр тот же — 1000 мм, отличается высота
ks-10-5;Чем КС 10-5 отличается от соседних марок ряда?
ks-10-5;Диаметр тот же — 1000 мм, отличается высота
ks-10-6;Чем КС 10-6 отличается от соседних марок ряда?
ks-10-6;Диаметр тот же — 1000 мм, отличается высота
ks-10-10;Чем КС 10-10 отличается от соседних марок ряда?
ks-10-10;Диаметр тот же — 1000 мм, отличается высота
ks-15-3;Чем КС 15-3 отличается от соседних марок ряда?
ks-15-3;Диаметр тот же — 1500 мм, отличается высота
ks-15-5;Чем КС 15-5 отличается от соседних марок ряда?
ks-15-5;Диаметр тот же — 1500 мм, отличается высота
ks-15-6;Чем КС 15-6 отличается от соседних марок ряда?
ks-15-6;Диаметр тот же — 1500 мм, отличается высота
ks-15-10;Чем КС 15-10 отличается от соседних марок ряда?
ks-15-10;Диаметр тот же — 1500 мм, отличается высота
ks-20-3;Чем КС 20-3 отличается от соседних марок ряда?
ks-20-3;Диаметр тот же — 2000 мм, отличается высота
ks-20-5;Чем КС 20-5 отличается от соседних марок ряда?
ks-20-5;Диаметр тот же — 2000 мм, отличается высота
ks-20-6;Чем КС 20-6 отличается от соседних марок ряда?
ks-20-6;Диаметр тот же — 2000 мм, отличается высота
ks-20-9;Чем КС 20-9 отличается от соседних марок ряда?
ks-20-9;Диаметр тот же — 2000 мм, отличается высота
ks-20-10;Чем КС 20-10 отличается от соседних марок ряда?
ks-20-10;Диаметр тот же — 2000 мм, отличается высота
ks-25-6;Чем КС 25-6 отличается от соседних марок ряда?
ks-25-6;Диаметр тот же — 2500 мм, отличается высота
ks-25-9;Чем КС 25-9 отличается от соседних марок ряда?
ks-25-9;Диаметр тот же — 2500 мм, отличается высота
fbs-24-3-6;Чем ФБС 24-3-6 отличается от соседних марок?
fbs-24-3-6;Сечение то же — 300×580 мм, отличается длина
fbs-24-5-6;Чем ФБС 24-5-6 отличается от соседних марок?
fbs-24-5-6;Сечение то же — 500×580 мм, отличается длина
fbs-24-6-6;Чем ФБС 24-6-6 отличается от соседних марок?
fbs-24-6-6;Сечение то же — 600×580 мм, отличается длина
fbs-12-3-6;Чем ФБС 12-3-6 отличается от соседних марок?
fbs-12-3-6;Сечение то же — 300×580 мм, отличается длина
fbs-12-4-6;Чем ФБС 12-4-6 отличается от соседних марок?
fbs-12-4-6;Сечение то же — 400×580 мм, отличается длина
fbs-12-5-6;Чем ФБС 12-5-6 отличается от соседних марок?
fbs-12-5-6;Сечение то же — 500×580 мм, отличается длина
fbs-12-6-6;Чем ФБС 12-6-6 отличается от соседних марок?
fbs-12-6-6;Сечение то же — 600×580 мм, отличается длина
fbs-9-3-6;Чем ФБС 9-3-6 отличается от соседних марок?
fbs-9-3-6;Сечение то же — 300×580 мм, отличается длина
fbs-9-4-6;Чем ФБС 9-4-6 отличается от соседних марок?
fbs-9-4-6;Сечение то же — 400×580 мм, отличается длина
fbs-9-5-6;Чем ФБС 9-5-6 отличается от соседних марок?
fbs-9-5-6;Сечение то же — 500×580 мм, отличается длина
fbs-9-6-6;Чем ФБС 9-6-6 отличается от соседних марок?
fbs-9-6-6;Сечение то же — 600×580 мм, отличается длина
fbs-6-5-6;Чем ФБС 6-5-6 отличается от соседних марок?
fbs-6-5-6;Сечение то же — 500×580 мм, отличается длина
fbs-6-4-6;Чем ФБС 6-4-6 отличается от соседних марок?
fbs-6-4-6;Сечение то же — 400×580 мм, отличается длина
fbs-12-4-3;Чем ФБС 12-4-3 отличается от соседних марок?
fbs-12-4-3;Сечение то же — 400×280 мм, отличается длина
fbs-9-4-3;Чем ФБС 9-4-3 отличается от соседних марок?
fbs-9-4-3;Сечение то же — 400×280 мм, отличается длина
fbs-6-4-3;Чем ФБС 6-4-3 отличается от соседних марок?
fbs-6-4-3;Сечение то же — 400×280 мм, отличается длина
fbs-6-3-6;Чем ФБС 6-3-6 отличается от соседних марок?
fbs-6-3-6;Сечение то же — 300×580 мм, отличается длина
pn-7;Чем ПН отличается от ПД?
pn-8;Чем ПН отличается от ПД?
pn-10;Чем ПН отличается от ПД?
pn-12;Чем ПН отличается от ПД?
pn-15;Чем ПН отличается от ПД?
pn-20;Чем ПН отличается от ПД?
pn-25;Чем ПН отличается от ПД?
pp-8-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-8-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-10-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-10-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-10-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-10-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-12-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-12-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-15-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-15-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-15-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-15-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-20-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-20-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-20-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-20-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pp-25-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pp-25-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-20-2;Чем эта плита отличается от обычной ПП?
ppz-20-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-20-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-20-1;Чем эта плита отличается от обычной ПП?
ppz-20-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-20-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-15-2;Чем эта плита отличается от обычной ПП?
ppz-15-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-15-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-15-1;Чем эта плита отличается от обычной ПП?
ppz-15-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-15-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-10-2;Чем эта плита отличается от обычной ПП?
ppz-10-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-10-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppz-10-1;Чем эта плита отличается от обычной ПП?
ppz-10-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppz-10-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-20-2;Чем эта плита отличается от обычной ПП?
ppl-20-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-20-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-20-1;Чем эта плита отличается от обычной ПП?
ppl-20-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-20-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-15-2;Чем эта плита отличается от обычной ПП?
ppl-15-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-15-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-15-1;Чем эта плита отличается от обычной ПП?
ppl-15-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-15-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-10-2;Чем эта плита отличается от обычной ПП?
ppl-10-2;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-10-2;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
ppl-10-1;Чем эта плита отличается от обычной ПП?
ppl-10-1;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
ppl-10-1;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pk-10;Можно ли поставить вместо неё обычную ПП?
pk-10;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pk-10;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pk-12;Можно ли поставить вместо неё обычную ПП?
pk-12;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pk-12;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pk-15;Можно ли поставить вместо неё обычную ПП?
pk-15;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pk-15;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pk-20;Можно ли поставить вместо неё обычную ПП?
pk-20;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pk-20;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pk-25;Можно ли поставить вместо неё обычную ПП?
pk-25;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pk-25;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pvg-15;Ставится в колодцах, собранных по этой серии, — там геометрия узла отличается от типовой, и обычная плита перекрытия не подойдёт
pvg-15;Можно ли поставить вместо неё обычную ПП?
pvg-15;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pvg-15;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pvg-20;Ставится в колодцах, собранных по этой серии, — там геометрия узла отличается от типовой, и обычная плита перекрытия не подойдёт
pvg-20;Можно ли поставить вместо неё обычную ПП?
pvg-20;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pvg-20;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
pvg-25;Ставится в колодцах, собранных по этой серии, — там геометрия узла отличается от типовой, и обычная плита перекрытия не подойдёт
pvg-25;Можно ли поставить вместо неё обычную ПП?
pvg-25;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — чем ПП отличается от ПК и ПВГ
pvg-25;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — крышка или опорная плита — что заказывать
kcd-7-9;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-7-9;Ставится в основание вместо связки «днище плюс кольцо»
kcd-7-9;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-7-10;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-7-10;Ставится в основание вместо связки «днище плюс кольцо»
kcd-7-10;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-10-6;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-10-6;Ставится в основание вместо связки «днище плюс кольцо»
kcd-10-6;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-10-9;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-10-9;Ставится в основание вместо связки «днище плюс кольцо»
kcd-10-9;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-10-10;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-10-10;Ставится в основание вместо связки «днище плюс кольцо»
kcd-10-10;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-15-9;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-15-9;Ставится в основание вместо связки «днище плюс кольцо»
kcd-15-9;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-15-10;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-15-10;Ставится в основание вместо связки «днище плюс кольцо»
kcd-15-10;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-20-9;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-20-9;Ставится в основание вместо связки «днище плюс кольцо»
kcd-20-9;Зачем брать КЦД вместо днища и кольца отдельно?
kcd-20-10;Это одна позиция вместо двух и один стык вместо двух: меньше работы на объекте и меньше мест, где колодец может подтекать
kcd-20-10;Ставится в основание вместо связки «днище плюс кольцо»
kcd-20-10;Зачем брать КЦД вместо днища и кольца отдельно?
vg-10;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vg-10;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vg-12;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vg-12;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vg-15;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vg-15;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vg-20;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vg-20;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vs-10;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vs-10;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vs-12;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vs-12;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vs-15;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vs-15;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
vd-8;Одна строка в спецификации вместо пяти, и гарантия, что элементы подойдут друг к другу по геометрии
vd-8;Унифицированные колодцы ВГ, ВС, ВД: чем отличаются — чем ВГ отличается от ВС и ВД
lch-l;Чугун держит нагрузку и не разрушается от перепадов температуры, в отличие от бетонных и композитных крышек в тяжёлых условиях
lch-t;Чугун держит нагрузку и не разрушается от перепадов температуры, в отличие от бетонных и композитных крышек в тяжёлых условиях
lch-tmr;Чугун держит нагрузку и не разрушается от перепадов температуры, в отличие от бетонных и композитных крышек в тяжёлых условиях
db;Чугун держит нагрузку и не разрушается от перепадов температуры, в отличие от бетонных и композитных крышек в тяжёлых условиях
dk;Чугун держит нагрузку и не разрушается от перепадов температуры, в отличие от бетонных и композитных крышек в тяжёлых условиях
uop-6;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — опорная плита или крышка — в чём разница
uop-6;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — что ставится над опорной плитой
kco-3;Опорная плита ОП или крышка ПП: чем отличаются и что заказывать — опорная плита или крышка — в чём разница
kco-3;Крышки колодцев ПП, ПК, ПВГ: чем отличаются — что ставится над опорной плитой
lotki-lk-3006-1-8;От лотков предыдущей серии отличается системой обозначения и номенклатурой сечений:
lotki-lk-3006-1-8;Чем ЛК отличается от Л
plity-p-3006-1-2-87;Плиты ВП и пустотные ПК/ПБ: в чём разница и что заказывать — плита канала или пустотная — не путать
plity-pt-3006-1-8;Плиты ВП и пустотные ПК/ПБ: в чём разница и что заказывать — плита канала или пустотная — не путать
zk-1-100;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-2-100;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-3-100;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-3-150;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-3-200;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-14-132;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-8-100;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-8-150;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-8-200;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-16-132;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-9-100;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
zk-9-200;Если проектом заложено плоское опирание, вместо ЗК берут звенья ЗКП , и лекальные блоки не нужны
bl-1-201-4;Чем отличается доборный блок?
bl-1-201-4a;Чем отличается доборный блок?
bl-4-201-8;Чем отличается доборный блок?
bl-4-201-8a;Чем отличается доборный блок?
stk-10;Чем откосная стенка отличается от портальной?
stk-11;Чем откосная стенка отличается от портальной?
stk-12;Чем откосная стенка отличается от портальной?
stk-13;Чем откосная стенка отличается от портальной?
st-1;Чем откосная стенка отличается от портальной?
st-2;Чем откосная стенка отличается от портальной?
